lock_name;num_threads;num_turns;num_tests;num_events;workload;cs_workload;randomness;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0160995;621138;0.03;0.0144993;689686;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0158996;628947;0.0335;0.0164286;608696;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0151762;658929;0.0036;0.0161738;618284;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0157463;635071;0.0099;0.0162163;616664;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0263294;379804;0.0145;0.0159683;626241;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0178149;561329;0.1014;0.016101;621080;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0162776;614340;0.0081;0.0152961;653763;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0166354;601128;0.1425;0.0151704;659179;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0169018;591653;0.0785;0.0153921;649684;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0168977;591797;0.1092;0.0153123;653068;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0154639;646666;0.006;0.015233;656468;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0171294;583792;0.0658;0.0160303;623820;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0162282;616213;0.0266;0.0154683;646483;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0171285;583822;0.0996;0.0161243;620184;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0158446;631129;0.0075;0.0160866;621636;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0168987;591761;0.0443;0.0158841;629560;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0167493;597039;0.0761;0.015613;640491;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0157451;635118;0.0106;0.0155901;641433;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0166097;602057;0.0115;0.0152755;654642;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0164499;607908;0.0469;0.01534;651892;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0169187;591062;0.0596;0.0152207;657001;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0165127;605593;0.0342;0.0151639;659463;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.016821;594495;0.1051;0.0168246;594368;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0169594;589642;0.0698;0.0156545;638794;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0167883;595653;0.1086;0.0161999;617287;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.017283;578602;0.1044;0.0156685;638224;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.017155;582920;0.0541;0.0166169;601799;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0170377;586935;0.0298;0.0159037;628785;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0193565;516623;0.0377;0.0161432;619457;1.13204
Reference-Lock;2;5000;30;40000;0;0;0.4;0;-1;-1;0.0172749;578873;0.0793;0.0153115;653102;1.13204
lock_name;num_threads;num_turns;num_tests;num_events;workload;cs_workload;randomness;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0216489;692875;0.0428;0.0156089;960987;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0157668;951368;0.0666667;0.0164345;912715;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0162798;921387;0.032;0.0163108;919639;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0198633;755162;0.0449333;0.0157126;954647;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0158365;947178;0.0824667;0.0164058;914313;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0154866;968579;0.0898;0.0157814;950487;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0161542;928550;0.104133;0.01666;900361;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0254324;589798;0.0940667;0.0164723;910621;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0162298;924224;0.0066;0.0171346;875420;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.016752;895417;0.00666667;0.0158995;943425;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0164189;913579;0.0142;0.0158903;943970;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0168913;888030;0.00753333;0.0157517;952276;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0170993;877226;0.0737333;0.0159584;939945;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0168015;892776;0.0362;0.0158829;944410;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0161132;930914;0.00153333;0.0162641;922279;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0169946;882635;0.0672667;0.0155835;962554;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0166895;898767;0.00413333;0.0169671;884064;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0172549;869316;0.0573333;0.0211433;709446;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0163918;915093;0.0066;0.0200083;749688;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0162652;922216;0.00513333;0.020661;726005;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.017309;866602;0.00506667;0.0209132;717250;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.016542;906780;0.00606667;0.019382;773914;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0163947;914927;0.00473333;0.0199128;753285;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0173683;863643;0.0494;0.0215393;696401;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0177003;847444;0.046;0.0212848;704730;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0167623;894868;0.00733333;0.0203875;735745;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0168894;888132;0.0242667;0.0193846;773812;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0170157;881541;0.00806667;0.0199693;751154;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0167133;897486;0.00433333;0.0208867;718159;1.24799
Reference-Lock;3;5000;30;60000;0;0;0.4;0;-1;-1;0.0174585;859179;0.0440667;0.0199799;750755;1.24799
lock_name;num_threads;num_turns;num_tests;num_events;workload;cs_workload;randomness;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0185717;1.07691e+06;0.1062;0.0213755;935648;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0231361;864450;0.0904;0.0201523;992443;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0197346;1.01345e+06;0.17295;0.021746;919708;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0307019;651426;0.0796;0.0208073;961203;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0166987;1.1977e+06;0.16935;0.0216651;923144;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0291991;684952;0.09015;0.0232287;861003;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0218071;917132;0.02435;0.0216411;924166;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0168502;1.18693e+06;0.01745;0.0220652;906403;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0217675;918802;0.04505;0.0218791;914115;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0168855;1.18444e+06;0.03915;0.0229892;869973;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0203978;980497;0.0534;0.0215935;926206;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0165093;1.21144e+06;0.0174;0.0209398;955118;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0202958;985428;0.04345;0.0205803;971802;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0240839;830429;0.10325;0.0204616;977439;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0225487;886968;0.0445;0.0209162;956195;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0162886;1.22785e+06;0.01765;0.0207079;965813;3.21741
Reference-Lock;4;5000;30;80000;0;0;0.4;0;-1;-1;0.0210343;950828;0.0295;0.0212015;943332;3.21741
